cluster,mapped_regime,cosine_to_R1_target,cosine_to_R2_target,cosine_to_R3_target
0,transcendence,0.8337764191328365,0.38579434731384377,0.9213437250486309
1,transcendence,0.9863975682832344,0.43069141586749005,0.8784135837337783
2,transcendence,0.9009787637488227,0.8540783407233158,0.9529704293785506
