,t,gap,rho_local,norm_height,s_unfolded,montgomery_local,gue_distance,cz_steps,cz_max,cz_even_steps,cz_odd_steps,cz_ratio_even,cz_ratio_odd,cz_growth_factor,cz_balance
t,1.0,-0.26657413042764566,0.9694523566556671,-0.9999998269560902,-0.0009090581272570145,-0.0013476539969417174,0.007067218290298248,0.11833879749192637,0.5289787189704358,0.12833808592780868,0.10134230077537695,-0.007836626942537403,0.007836626942537403,-0.048836441287705146,-0.007836626942537403
gap,-0.26657413042764566,1.0,-0.25678443799429557,0.2662256839486709,0.9409789968074623,0.02315820817035248,-0.11588952300725476,-0.019147044330099398,-0.1554507909302221,-0.022820757733559467,-0.013130248656801968,-0.020863604134331856,0.020863604134331856,0.030077069645937305,-0.020863604134331856
rho_local,0.9694523566556671,-0.25678443799429557,1.0,-0.9694525075889442,0.01392031788703772,0.0008902290731304523,0.01252595549796302,0.11671128585102986,0.5220581543613203,0.1265805888050917,0.09997788003504246,-0.00800389973848504,0.00800389973848504,-0.04437285255269809,-0.00800389973848504
norm_height,-0.9999998269560902,0.2662256839486709,-0.9694525075889442,1.0,0.0005417186887722579,0.0013509295295471067,-0.007057299342806547,-0.11834231230752786,-0.5289859159573954,-0.1283416073716006,-0.10134581833762882,0.00784012179867314,-0.00784012179867314,0.04882794134296987,0.00784012179867314
s_unfolded,-0.0009090581272570145,0.9409789968074623,0.01392031788703772,0.0005417186887722579,1.0,0.020366807662799708,-0.11899839423427346,0.025852407800942275,0.016475883978629594,0.025834266230787713,0.025919880462715865,-0.026555074610943568,0.026555074610943568,0.020686641935899655,-0.026555074610943568
montgomery_local,-0.0013476539969417174,0.02315820817035248,0.0008902290731304523,0.0013509295295471067,0.020366807662799708,1.0,-0.10251905983328406,-0.0098264122393164,-0.00870069723919186,-0.009919040550018509,-0.009741064092852629,0.009840379817856102,-0.009840379817856102,-0.013872784581460748,0.009840379817856102
gue_distance,0.007067218290298248,-0.11588952300725476,0.01252595549796302,-0.007057299342806547,-0.11899839423427346,-0.10251905983328406,1.0,-0.004677522022576662,0.003605638130156601,-0.0045867202242593575,-0.0048895276784046565,0.005396990715081938,-0.005396990715081938,-0.001982462937006369,0.005396990715081938
cz_steps,0.11833879749192637,-0.019147044330099398,0.11671128585102986,-0.11834231230752786,0.025852407800942275,-0.0098264122393164,-0.004677522022576662,1.0,0.3547039811510422,0.9999159491426642,0.9997848479863928,-0.9905384998547577,0.9905384998547577,0.3238056305623937,-0.9905384998547577
cz_max,0.5289787189704358,-0.1554507909302221,0.5220581543613203,-0.5289859159573954,0.016475883978629594,-0.00870069723919186,0.003605638130156601,0.3547039811510422,1.0,0.3608151138354428,0.3445574560646676,-0.28577533634037805,0.28577533634037805,0.7627883606872561,-0.28577533634037805
cz_even_steps,0.12833808592780868,-0.022820757733559467,0.1265805888050917,-0.1283416073716006,0.025834266230787713,-0.009919040550018509,-0.0045867202242593575,0.9999159491426642,0.3608151138354428,1.0,0.9994508818409337,-0.98880541281001,0.98880541281001,0.32266429449083855,-0.98880541281001
cz_odd_steps,0.10134230077537695,-0.013130248656801968,0.09997788003504246,-0.10134581833762882,0.025919880462715865,-0.009741064092852629,-0.0048895276784046565,0.9997848479863928,0.3445574560646676,0.9994508818409337,1.0,-0.9930193429177456,0.9930193429177456,0.32553233678965654,-0.9930193429177456
cz_ratio_even,-0.007836626942537403,-0.020863604134331856,-0.00800389973848504,0.00784012179867314,-0.026555074610943568,0.009840379817856102,0.005396990715081938,-0.9905384998547577,-0.28577533634037805,-0.98880541281001,-0.9930193429177456,1.0,-1.0,-0.33223364035172065,1.0
cz_ratio_odd,0.007836626942537403,0.020863604134331856,0.00800389973848504,-0.00784012179867314,0.026555074610943568,-0.009840379817856102,-0.005396990715081938,0.9905384998547577,0.28577533634037805,0.98880541281001,0.9930193429177456,-1.0,1.0,0.33223364035172065,-1.0
cz_growth_factor,-0.048836441287705146,0.030077069645937305,-0.04437285255269809,0.04882794134296987,0.020686641935899655,-0.013872784581460748,-0.001982462937006369,0.3238056305623937,0.7627883606872561,0.32266429449083855,0.32553233678965654,-0.33223364035172065,0.33223364035172065,1.0,-0.33223364035172065
cz_balance,-0.007836626942537403,-0.020863604134331856,-0.00800389973848504,0.00784012179867314,-0.026555074610943568,0.009840379817856102,0.005396990715081938,-0.9905384998547577,-0.28577533634037805,-0.98880541281001,-0.9930193429177456,1.0,-1.0,-0.33223364035172065,1.0
