bin,md,se,pooled_mu,pooled_lo,pooled_hi
4-100,-0.1138713572330492,0.05683256353777149,-0.04798688040952829,-0.05852234399604625,-0.03745141682301033
101-500,-0.10900391113716923,0.025450739589174674,-0.04798688040952829,-0.05852234399604625,-0.03745141682301033
501-1000,-0.050745427625814854,0.022636672320347127,-0.04798688040952829,-0.05852234399604625,-0.03745141682301033
1001-2500,-0.04269529566661201,0.01376353350589112,-0.04798688040952829,-0.05852234399604625,-0.03745141682301033
2501-5000,-0.039983053493240606,0.01007672282237289,-0.04798688040952829,-0.05852234399604625,-0.03745141682301033
5001-10000,-0.045203863771623776,0.008626402663784396,-0.04798688040952829,-0.05852234399604625,-0.03745141682301033
10001-20000,-0.0468316497663574,0.0060755124118150265,-0.04798688040952829,-0.05852234399604625,-0.03745141682301033
