n,identical_prime_pair,propE_base,propO_base,propI_base,propE_altA,propO_altA,propI_altA,propE_altB,propO_altB,propI_altB,propE_altC,propO_altC,propI_altC,collatz_steps,collatz_max,divergence_ratio,time_to_peak_ratio,log_n,mod3,mod4,mod6,mod12,mod30,center_distance_base,center_distance_altA,center_distance_altB,center_distance_altC,mag_bin,near_center
6222,0,0.3055555555555556,0.05555555555555555,0.6388888888888888,0.3055555555555556,0.027777777777777776,0.6666666666666666,0.08333333333333333,0.3611111111111111,0.5555555555555556,0.25,0.1111111111111111,0.6388888888888888,36,23632,3.7981356477017036,0.3055555555555556,8.735846677457582,0,2,0,6,12,0.2004624283629857,0.23972721122657129,0.2756585828901173,0.17231180465856466,5001-10000,1
6224,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.23387096774193547,0.7338709677419355,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4832904884318765,0.7258064516129032,8.736168065858228,2,0,2,8,14,0.5223466222313529,0.5218234259068696,0.3571114896289028,0.5117810812545467,5001-10000,0
6226,0,0.43010752688172044,0.07526881720430108,0.4946236559139785,0.43010752688172044,0.17204301075268819,0.3978494623655914,0.03225806451612903,0.26881720430107525,0.6989247311827957,0.44086021505376344,0.06451612903225806,0.4946236559139785,93,95956,15.412142627690331,0.43010752688172044,8.736489351001554,1,2,4,10,16,0.1803184449484383,0.16776261245596602,0.34057686401253506,0.1955156887646808,5001-10000,1
6228,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.25,0.717741935483871,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4823378291586384,0.7258064516129032,8.73681053295389,0,0,0,0,18,0.5223466222313529,0.5218234259068696,0.34870803616336626,0.5117810812545467,5001-10000,0
6230,0,0.06451612903225806,0.03225806451612903,0.9032258064516129,0.06451612903225806,0.0967741935483871,0.8387096774193549,0.04838709677419355,0.1774193548387097,0.7741935483870968,0.08064516129032258,0.016129032258064516,0.9032258064516129,62,14020,2.250401284109149,0.06451612903225806,8.737131611781498,2,2,2,2,20,0.4961663646342634,0.4252440078132335,0.37282843317366005,0.49448572176783634,5001-10000,0
6232,0,0.0,0.0,1.0,0.0,0.0,1.0,0.016129032258064516,0.27419354838709675,0.7096774193548387,0.04838709677419355,0.0,0.9516129032258065,62,6232,1.0,0.0,8.737452587550584,1,0,4,4,22,0.6164414002968976,0.6164414002968976,0.36062727175896775,0.5543133296518862,5001-10000,0
6234,0,0.03225806451612903,0.016129032258064516,0.9516129032258065,0.03225806451612903,0.0,0.967741935483871,0.03225806451612903,0.1774193548387097,0.7903225806451613,0.04838709677419355,0.0,0.9516129032258065,62,9352,1.5001604106512672,0.03225806451612903,8.737773460327283,0,2,0,6,24,0.556280946244833,0.5748636901273615,0.3955791076194692,0.5543133296518862,5001-10000,0
6236,0,0.11290322580645161,0.016129032258064516,0.8709677419354839,0.11290322580645161,0.0,0.8870967741935484,0.03225806451612903,0.1774193548387097,0.7903225806451613,0.0967741935483871,0.0,0.9032258064516129,62,10528,1.6882617062219372,0.11290322580645161,8.738094230177667,2,0,2,8,26,0.4543465651335985,0.47418257612936665,0.3955791076194692,0.4938540061561332,5001-10000,0
6238,1,0.16326530612244897,0.10204081632653061,0.7346938775510204,0.16326530612244897,0.20408163265306123,0.6326530612244898,0.08163265306122448,0.30612244897959184,0.6122448979591837,0.1836734693877551,0.08163265306122448,0.7346938775510204,49,31588,5.063802500801539,0.16326530612244897,8.738414897167749,1,2,4,10,28,0.2887448602758038,0.1905514914324482,0.2674793253774452,0.28744374528860317,5001-10000,1
6240,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.22580645161290322,0.7419354838709677,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4794871794871796,0.7258064516129032,8.738735461363474,0,0,0,0,0,0.5223466222313529,0.5218234259068696,0.36177962258449237,0.5117810812545467,5001-10000,0
6242,1,0.03225806451612903,0.016129032258064516,0.9516129032258065,0.03225806451612903,0.04838709677419355,0.9193548387096774,0.04838709677419355,0.1935483870967742,0.7580645161290323,0.04838709677419355,0.0,0.9516129032258065,62,9364,1.50016020506248,0.03225806451612903,8.739055922830724,2,2,2,2,2,0.556280946244833,0.5201256551934604,0.3604829688954579,0.5543133296518862,5001-10000,0
6244,0,0.0,0.0,1.0,0.0,0.0,1.0,0.04838709677419355,0.2903225806451613,0.6612903225806451,0.04838709677419355,0.0,0.9516129032258065,62,6244,1.0,0.0,8.739376281635323,1,0,4,4,4,0.6164414002968976,0.6164414002968976,0.31222073890484797,0.5543133296518862,5001-10000,0
6246,0,0.06451612903225806,0.03225806451612903,0.9032258064516129,0.06451612903225806,0.016129032258064516,0.9193548387096774,0.03225806451612903,0.1935483870967742,0.7741935483870968,0.04838709677419355,0.0,0.9516129032258065,62,14056,2.250400256163945,0.06451612903225806,8.739696537843024,0,2,0,6,6,0.4961663646342634,0.5148977248090416,0.38328771086849306,0.5543133296518862,5001-10000,0
6248,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.24193548387096775,0.7258064516129032,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4775928297055059,0.7258064516129032,8.740016691519521,2,0,2,8,8,0.5223466222313529,0.5218234259068696,0.3527504534570465,0.5117810812545467,5001-10000,0
6250,0,0.016129032258064516,0.008064516129032258,0.9758064516129032,0.016129032258064516,0.7096774193548387,0.27419354838709675,0.04032258064516129,0.24193548387096775,0.717741935483871,0.717741935483871,0.0,0.28225806451612906,124,9376,1.50016,0.016129032258064516,8.740336742730447,1,2,4,10,10,0.5863563214394363,0.6255736181433498,0.34147107842179425,0.5117810812545467,5001-10000,0
6252,0,0.1032258064516129,0.01935483870967742,0.8774193548387097,0.1032258064516129,0.6774193548387096,0.21935483870967742,0.012903225806451613,0.17419354838709677,0.8129032258064516,0.0967741935483871,0.025806451612903226,0.8774193548387097,155,26728,4.275111964171465,0.1032258064516129,8.740656691541368,0,0,0,0,12,0.4623830954426131,0.5877167941933419,0.42543972477575914,0.462698055014784,5001-10000,0
6254,0,0.1032258064516129,0.01935483870967742,0.8774193548387097,0.1032258064516129,0.6774193548387096,0.21935483870967742,0.01935483870967742,0.1870967741935484,0.7935483870967742,0.0967741935483871,0.025806451612903226,0.8774193548387097,155,26728,4.273744803325871,0.1032258064516129,8.740976538017787,2,2,2,2,14,0.4623830954426131,0.5877167941933419,0.40632358454684986,0.462698055014784,5001-10000,0
6256,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.27419354838709675,0.6935483870967742,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4757033248081841,0.7258064516129032,8.741296282225147,1,0,4,4,16,0.5223466222313529,0.5218234259068696,0.3386021334644549,0.5117810812545467,5001-10000,0
6258,0,0.3153153153153153,0.018018018018018018,0.6666666666666666,0.3153153153153153,0.3783783783783784,0.3063063063063063,0.09009009009009009,0.4864864864864865,0.42342342342342343,0.32432432432432434,0.009009009009009009,0.6666666666666666,111,14308,2.286353467561521,0.3153153153153153,8.741615924228828,0,2,0,6,18,0.24724436985920573,0.26376249114082523,0.3633189360574901,0.2546507592200218,5001-10000,1
6260,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.2903225806451613,0.6774193548387096,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4747603833865814,0.7258064516129032,8.741935464094144,2,0,2,8,20,0.5223466222313529,0.5218234259068696,0.3336488274555074,0.5117810812545467,5001-10000,0
6262,0,0.08108108108108109,0.018018018018018018,0.9009009009009009,0.08108108108108109,0.6126126126126126,0.3063063063063063,0.0990990990990991,0.4864864864864865,0.4144144144144144,0.06306306306306306,0.009009009009009009,0.9279279279279279,111,15856,2.5320983711274354,0.08108108108108109,8.742254901886351,1,2,4,10,22,0.49169550249099553,0.505659873951197,0.3602229467735128,0.5251085432798334,5001-10000,0
6264,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.04032258064516129,0.29838709677419356,0.6612903225806451,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4738186462324394,0.7258064516129032,8.74257423767064,0,0,0,0,24,0.5223466222313529,0.5218234259068696,0.32113385229933616,0.5117810812545467,5001-10000,0
6266,0,0.016129032258064516,0.008064516129032258,0.9758064516129032,0.016129032258064516,0.7096774193548387,0.27419354838709675,0.04838709677419355,0.29838709677419356,0.6532258064516129,0.717741935483871,0.0,0.28225806451612906,124,9400,1.5001595914458985,0.016129032258064516,8.742893471512136,2,2,2,2,26,0.5863563214394363,0.6255736181433498,0.31059172822874836,0.5117810812545467,5001-10000,0
6268,0,0.1774193548387097,0.03225806451612903,0.7903225806451613,0.1774193548387097,0.14516129032258066,0.6774193548387096,0.04838709677419355,0.2903225806451613,0.6612903225806451,0.1935483870967742,0.016129032258064516,0.7903225806451613,62,23812,3.798978940650925,0.1774193548387097,8.74321260347591,1,0,4,4,28,0.35700220212275924,0.22251050788361976,0.31222073890484797,0.3597605863633762,5001-10000,1
6270,0,0.1935483870967742,0.06451612903225806,0.7419354838709677,0.1935483870967742,0.12903225806451613,0.6774193548387096,0.03225806451612903,0.1935483870967742,0.7741935483870968,0.1774193548387097,0.08064516129032258,0.7419354838709677,62,71440,11.393939393939394,0.1935483870967742,8.743531633626967,0,2,0,6,0,0.2970195339333447,0.21873727107309268,0.38328771086849306,0.2963180224816752,5001-10000,1
6272,0,0.0,0.0,1.0,0.0,0.0,1.0,0.03225806451612903,0.0967741935483871,0.8709677419354839,0.0967741935483871,0.0,0.9032258064516129,31,6272,1.0,0.0,8.743850562030243,2,0,2,8,2,0.6164414002968976,0.6164414002968976,0.46899720328691397,0.4938540061561332,5001-10000,0
6274,1,0.05555555555555555,0.027777777777777776,0.9166666666666666,0.05555555555555555,0.08333333333333333,0.8611111111111112,0.08333333333333333,0.3055555555555556,0.6111111111111112,0.08333333333333333,0.0,0.9166666666666666,36,9412,1.500159387950271,0.05555555555555555,8.744169388750624,1,2,4,10,4,0.5128593290153008,0.4514038459060417,0.2653904647221375,0.5104464277037851,5001-10000,0
6276,0,0.0,0.0,1.0,0.0,0.0,1.0,0.08333333333333333,0.3888888888888889,0.5277777777777778,0.08333333333333333,0.0,0.9166666666666666,36,6276,1.0,0.0,8.744488113852924,0,0,0,0,6,0.6164414002968976,0.6164414002968976,0.28878203151926723,0.5104464277037851,5001-10000,0
6278,0,0.1111111111111111,0.05555555555555555,0.8333333333333334,0.1111111111111111,0.027777777777777776,0.8611111111111112,0.05555555555555555,0.2777777777777778,0.6666666666666666,0.08333333333333333,0.0,0.9166666666666666,36,14128,2.2503982159923543,0.1111111111111111,8.744806737401898,2,2,2,2,8,0.40945612828196176,0.44242597204587886,0.3059088866208045,0.5104464277037851,5001-10000,0
6280,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.03225806451612903,0.25,0.717741935483871,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4700636942675158,0.7258064516129032,8.745125259462244,1,0,4,4,10,0.5223466222313529,0.5218234259068696,0.34870803616336626,0.5117810812545467,5001-10000,0
6282,0,0.016129032258064516,0.008064516129032258,0.9758064516129032,0.016129032258064516,0.7096774193548387,0.27419354838709675,0.04032258064516129,0.25,0.7096774193548387,0.717741935483871,0.0,0.28225806451612906,124,9424,1.5001591849729385,0.016129032258064516,8.745443680098592,0,2,0,6,12,0.5863563214394363,0.6255736181433498,0.3374862698097415,0.5117810812545467,5001-10000,0
6284,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.04032258064516129,0.25806451612903225,0.7016129032258065,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4691279439847231,0.7258064516129032,8.745761999375512,2,0,2,8,14,0.5223466222313529,0.5218234259068696,0.3338436953174731,0.5117810812545467,5001-10000,0
6286,0,0.05660377358490566,0.018867924528301886,0.9245283018867925,0.05660377358490566,0.330188679245283,0.6132075471698113,0.05660377358490566,0.32075471698113206,0.6226415094339622,0.0660377358490566,0.009433962264150943,0.9245283018867925,106,21220,3.3757556474705694,0.05660377358490566,8.746080217357513,1,2,4,10,16,0.5217996079920685,0.2983400140325533,0.2981012655835963,0.5208435800582172,5001-10000,0
6288,0,0.0,0.0,1.0,0.0,0.0,1.0,0.016129032258064516,0.27419354838709675,0.7096774193548387,0.04838709677419355,0.0,0.9516129032258065,62,6288,1.0,0.0,8.746398334109042,0,0,0,0,18,0.6164414002968976,0.6164414002968976,0.36062727175896775,0.5543133296518862,5001-10000,0
6290,0,0.14516129032258066,0.03225806451612903,0.8225806451612904,0.14516129032258066,0.3064516129032258,0.5483870967741935,0.06451612903225806,0.43548387096774194,0.5,0.12903225806451613,0.0,0.8709677419354839,62,15928,2.532273449920509,0.14516129032258066,8.746716349694486,2,2,2,2,20,0.3951843311255111,0.1940316547331944,0.3330244840426966,0.4548043912928172,5001-10000,0
6292,0,0.0,0.0,1.0,0.0,0.0,1.0,0.03225806451612903,0.27419354838709675,0.6935483870967742,0.04838709677419355,0.0,0.9516129032258065,62,6292,1.0,0.0,8.747034264178168,1,0,4,4,22,0.6164414002968976,0.6164414002968976,0.3386021334644549,0.5543133296518862,5001-10000,0
6294,0,0.03225806451612903,0.016129032258064516,0.9516129032258065,0.03225806451612903,0.6935483870967742,0.27419354838709675,0.03225806451612903,0.20161290322580644,0.7661290322580645,0.04032258064516129,0.008064516129032258,0.9516129032258065,124,14164,2.2503972036860502,0.03225806451612903,8.747352077624353,0,2,0,6,24,0.556280946244833,0.6051977429010184,0.37750894993904327,0.5551808772387724,5001-10000,0
6296,0,0.0,0.0,1.0,0.0,0.0,1.0,0.016129032258064516,0.3225806451612903,0.6612903225806451,0.04838709677419355,0.0,0.9516129032258065,62,6296,1.0,0.0,8.74766979009724,2,0,2,8,26,0.6164414002968976,0.6164414002968976,0.3487453355287633,0.5543133296518862,5001-10000,0
6298,0,0.03225806451612903,0.016129032258064516,0.9516129032258065,0.03225806451612903,0.0,0.967741935483871,0.03225806451612903,0.20967741935483872,0.7580645161290323,0.04838709677419355,0.0,0.9516129032258065,62,9448,1.5001587805652588,0.03225806451612903,8.74798740166097,1,2,4,10,28,0.556280946244833,0.5748636901273615,0.3719901758742161,0.5543133296518862,5001-10000,0
6300,0,0.1935483870967742,0.016129032258064516,0.7903225806451613,0.1935483870967742,0.0,0.8064516129032258,0.04838709677419355,0.20967741935483872,0.7419354838709677,0.16129032258064516,0.016129032258064516,0.8225806451612904,62,11968,1.8996825396825396,0.1935483870967742,8.748304912379623,0,0,0,0,0,0.3597605863633762,0.3811096127634237,0.34919261714842675,0.3963674810334618,5001-10000,1
6302,0,0.12903225806451613,0.04838709677419355,0.8225806451612904,0.12903225806451613,0.06451612903225806,0.8064516129032258,0.03225806451612903,0.1774193548387097,0.7903225806451613,0.11290322580645161,0.06451612903225806,0.8225806451612904,62,31912,5.063789273246589,0.12903225806451613,8.74862232231722,2,2,2,2,2,0.39531596709436145,0.37616278274958365,0.3955791076194692,0.39676108029733675,5001-10000,0
6304,0,0.0,0.0,1.0,0.0,0.0,1.0,0.03225806451612903,0.0967741935483871,0.8709677419354839,0.0967741935483871,0.0,0.9032258064516129,31,6304,1.0,0.0,8.748939631537715,1,0,4,4,4,0.6164414002968976,0.6164414002968976,0.46899720328691397,0.4938540061561332,5001-10000,0
6306,0,0.03225806451612903,0.016129032258064516,0.9516129032258065,0.03225806451612903,0.04838709677419355,0.9193548387096774,0.06451612903225806,0.22580645161290322,0.7096774193548387,0.04838709677419355,0.0,0.9516129032258065,62,9460,1.5001585791309864,0.03225806451612903,8.749256840105007,0,2,0,6,6,0.556280946244833,0.5201256551934604,0.31635936309536683,0.5543133296518862,5001-10000,0
6308,0,0.24731182795698925,0.03225806451612903,0.7204301075268817,0.24731182795698925,0.053763440860215055,0.6989247311827957,0.021505376344086023,0.1935483870967742,0.7849462365591398,0.23655913978494625,0.043010752688172046,0.7204301075268817,93,45520,7.216233354470513,0.24731182795698925,8.74957394808293,2,0,2,8,8,0.2819624668239049,0.25245241804828344,0.39849119995743876,0.2779564692909178,5001-10000,1
6310,0,0.24731182795698925,0.03225806451612903,0.7204301075268817,0.24731182795698925,0.053763440860215055,0.6989247311827957,0.021505376344086023,0.22580645161290322,0.7526881720430108,0.23655913978494625,0.043010752688172046,0.7204301075268817,93,45520,7.213946117274168,0.24731182795698925,8.749890955535259,1,2,4,10,10,0.2819624668239049,0.25245241804828344,0.37693041883156164,0.2779564692909178,5001-10000,1
6312,0,0.0,0.0,1.0,0.0,0.0,1.0,0.03225806451612903,0.16129032258064516,0.8064516129032258,0.0967741935483871,0.0,0.9032258064516129,31,6312,1.0,0.0,8.750207862525711,0,0,0,0,12,0.6164414002968976,0.6164414002968976,0.40877472303647683,0.4938540061561332,5001-10000,0
6314,0,0.06451612903225806,0.03225806451612903,0.9032258064516129,0.06451612903225806,0.0,0.9354838709677419,0.06451612903225806,0.12903225806451613,0.8064516129032258,0.0967741935483871,0.0,0.9032258064516129,31,9472,1.5001583782071588,0.06451612903225806,8.750524669117937,2,2,2,2,14,0.4961663646342634,0.5339464911009352,0.3929397726527083,0.4938540061561332,5001-10000,0
6316,0,0.7258064516129032,0.008064516129032258,0.2661290322580645,0.7258064516129032,0.0,0.27419354838709675,0.04032258064516129,0.3064516129032258,0.6532258064516129,0.717741935483871,0.0,0.28225806451612906,124,9232,1.4616846105129828,0.7258064516129032,8.750841375375533,1,0,4,4,16,0.5223466222313529,0.5218234259068696,0.31975374239441534,0.5117810812545467,5001-10000,0
6318,0,0.04838709677419355,0.016129032258064516,0.9354838709677419,0.04838709677419355,0.6774193548387096,0.27419354838709675,0.016129032258064516,0.1774193548387097,0.8064516129032258,0.04032258064516129,0.024193548387096774,0.9354838709677419,124,21328,3.375751820196265,0.04838709677419355,8.75115798136203,0,2,0,6,18,0.5355033031841389,0.5850015786596984,0.4183362318920411,0.5366437108776714,5001-10000,0
6320,0,0.575,0.0125,0.4125,0.575,0.0,0.425,0.05,0.35,0.6,0.5625,0.0,0.4375,80,9232,1.460759493670886,0.575,8.751474487140904,2,0,2,8,20,0.3441474974484051,0.34820970692960296,0.3082207001484488,0.3358757210636101,5001-10000,1
6322,0,0.23870967741935484,0.012903225806451613,0.7483870967741936,0.23870967741935484,0.5419354838709678,0.21935483870967742,0.025806451612903226,0.3096774193548387,0.6645161290322581,0.22580645161290322,0.025806451612903226,0.7483870967741936,155,21688,3.4305599493831065,0.23870967741935484,8.751790892775563,1,2,4,10,22,0.3169508737952678,0.4465849139052769,0.33804850984023416,0.3123207081925067,5001-10000,1
6324,0,0.575,0.0125,0.4125,0.575,0.0,0.425,0.05,0.375,0.575,0.5625,0.0,0.4375,80,9232,1.4598355471220745,0.575,8.752107198329362,0,0,0,0,24,0.3441474974484051,0.34820970692960296,0.31424512724941334,0.3358757210636101,5001-10000,1
6326,1,0.3333333333333333,0.05555555555555555,0.6111111111111112,0.3333333333333333,0.09259259259259259,0.5740740740740741,0.037037037037037035,0.3888888888888889,0.5740740740740741,0.3148148148148148,0.07407407407407407,0.6111111111111112,54,40552,6.41036990199178,0.3333333333333333,8.752423403865594,2,2,2,2,26,0.18525924445036746,0.13466414046442848,0.33213777365104236,0.16858972854431178,5001-10000,1
6328,0,0.575,0.0125,0.4125,0.575,0.0,0.425,0.05,0.4,0.55,0.5625,0.0,0.4375,80,9232,1.458912768647282,0.575,8.75273950944749,1,0,4,4,28,0.3441474974484051,0.34820970692960296,0.32403703492039304,0.3358757210636101,5001-10000,1
6330,0,0.025,0.0125,0.9625,0.025,0.55,0.425,0.0625,0.4,0.5375,0.5625,0.0,0.4375,80,9496,1.5001579778830965,0.025,8.753055515138222,0,2,0,6,0,0.5698135660020741,0.4513867521316947,0.3127499000799201,0.3358757210636101,5001-10000,0
6332,0,0.47619047619047616,0.17261904761904762,0.35119047619047616,0.47619047619047616,0.27380952380952384,0.25,0.017857142857142856,0.32142857142857145,0.6607142857142857,0.47023809523809523,0.17857142857142858,0.35119047619047616,168,250504,39.561591914087174,0.47619047619047616,8.753371421000903,2,0,2,8,2,0.23224356789786876,0.3146282404763047,0.3466678113534215,0.22712214141334044,5001-10000,1
6334,1,0.47619047619047616,0.17261904761904762,0.35119047619047616,0.47619047619047616,0.27380952380952384,0.25,0.017857142857142856,0.3333333333333333,0.6488095238095238,0.47023809523809523,0.17857142857142858,0.35119047619047616,168,250504,39.54910009472687,0.47619047619047616,8.753687227098585,1,2,4,10,4,0.23224356789786876,0.3146282404763047,0.34572625585993566,0.22712214141334044,5001-10000,1
6336,0,0.0,0.0,1.0,0.0,0.0,1.0,0.03225806451612903,0.0967741935483871,0.8709677419354839,0.0967741935483871,0.0,0.9032258064516129,31,6336,1.0,0.0,8.754002933494261,0,0,0,0,6,0.6164414002968976,0.6164414002968976,0.46899720328691397,0.4938540061561332,5001-10000,0
6338,1,0.2222222222222222,0.018518518518518517,0.7592592592592593,0.2222222222222222,0.2962962962962963,0.48148148148148145,0.07407407407407407,0.5370370370370371,0.3888888888888889,0.2037037037037037,0.0,0.7962962962962963,54,12040,1.899652887346166,0.2222222222222222,8.754318540250866,2,2,2,2,8,0.32588383566605833,0.12516107591641332,0.4206924854956857,0.3702221925807348,5001-10000,1
6340,0,0.575,0.0125,0.4125,0.575,0.0,0.425,0.05,0.4375,0.5125,0.5625,0.0,0.4375,80,9232,1.4561514195583596,0.575,8.754634047431272,1,0,4,4,10,0.3441474974484051,0.34820970692960296,0.3450543435460565,0.3358757210636101,5001-10000,1
6342,0,0.05,0.025,0.925,0.05,0.525,0.425,0.0375,0.3375,0.625,0.0375,0.0,0.9625,80,14272,2.250394197414065,0.05,8.754949455098293,0,2,0,6,12,0.5232112384114088,0.4168333000133267,0.3216170082567152,0.5681659088681756,5001-10000,0
6344,0,0.575,0.0125,0.4125,0.575,0.0,0.425,0.05,0.4375,0.5125,0.5625,0.0,0.4375,80,9232,1.455233291298865,0.575,8.755264763314685,2,0,2,8,14,0.3441474974484051,0.34820970692960296,0.3450543435460565,0.3358757210636101,5001-10000,1
6346,0,0.025,0.0125,0.9625,0.025,0.55,0.425,0.0625,0.4375,0.5,0.5625,0.0,0.4375,80,9520,1.5001575795776867,0.025,8.75557997214314,1,2,4,10,16,0.5698135660020741,0.4513867521316947,0.3358757210636101,0.3358757210636101,5001-10000,0
6348,0,0.575,0.0125,0.4125,0.575,0.0,0.425,0.0625,0.45,0.4875,0.5625,0.0,0.4375,80,9232,1.4543163201008191,0.575,8.7558950816463,0,0,0,0,18,0.3441474974484051,0.34820970692960296,0.3450543435460565,0.3358757210636101,5001-10000,1
6350,0,0.16080402010050251,0.05025125628140704,0.7889447236180904,0.16080402010050251,0.6683417085427136,0.1708542713567839,0.010050251256281407,0.06030150753768844,0.9296482412060302,0.15577889447236182,0.05527638190954774,0.7889447236180904,199,695464,109.52188976377953,0.16080402010050251,8.756210091886738,2,2,2,2,20,0.35396223014922484,0.5891149187255089,0.536827846487329,0.3538837467580842,5001-10000,1
6352,0,0.0,0.0,1.0,0.0,0.0,1.0,0.03225806451612903,0.12903225806451613,0.8387096774193549,0.0967741935483871,0.0,0.9032258064516129,31,6352,1.0,0.0,8.756525002926972,1,0,4,4,22,0.6164414002968976,0.6164414002968976,0.43754589472373545,0.4938540061561332,5001-10000,0
6354,0,0.2037037037037037,0.037037037037037035,0.7592592592592593,0.2037037037037037,0.2222222222222222,0.5740740740740741,0.05555555555555555,0.46296296296296297,0.48148148148148145,0.18518518518518517,0.05555555555555555,0.7592592592592593,54,24136,3.798552093169657,0.2037037037037037,8.756839814829462,0,2,0,6,24,0.32100664711141413,0.1235061629669116,0.3595073599220667,0.3182169114668236,5001-10000,1
6356,0,0.0,0.0,1.0,0.0,0.0,1.0,0.06451612903225806,0.12903225806451613,0.8064516129032258,0.0967741935483871,0.0,0.9032258064516129,31,6356,1.0,0.0,8.757154527656606,2,0,2,8,26,0.6164414002968976,0.6164414002968976,0.3929397726527083,0.4938540061561332,5001-10000,0
6358,0,0.05,0.025,0.925,0.05,0.525,0.425,0.1,0.35,0.55,0.0625,0.0125,0.925,80,14308,2.2503932054105062,0.05,8.757469141470748,1,2,4,10,28,0.5232112384114088,0.4168333000133267,0.2549509756796392,0.5217159188677302,5001-10000,0
6360,0,0.5849056603773585,0.07547169811320754,0.33962264150943394,0.5849056603773585,0.0660377358490566,0.3490566037735849,0.03773584905660377,0.36792452830188677,0.5943396226415094,0.5943396226415094,0.0660377358490566,0.33962264150943394,106,39364,6.189308176100629,0.5849056603773585,8.757783656334167,0,0,0,0,0,0.3498562996464097,0.34914328347523804,0.3253937560489047,0.3609745126592802,5001-10000,1
6362,1,0.5849056603773585,0.07547169811320754,0.33962264150943394,0.5849056603773585,0.0660377358490566,0.3490566037735849,0.03773584905660377,0.3867924528301887,0.5754716981132075,0.5943396226415094,0.0660377358490566,0.33962264150943394,106,39364,6.187362464633763,0.5849056603773585,8.758098072309089,2,2,2,2,2,0.3498562996464097,0.34914328347523804,0.3307111768907575,0.3609745126592802,5001-10000,1
6364,0,0.5849056603773585,0.07547169811320754,0.33962264150943394,0.5849056603773585,0.0660377358490566,0.3490566037735849,0.03773584905660377,0.4056603773584906,0.5566037735849056,0.5943396226415094,0.0660377358490566,0.33962264150943394,106,39364,6.185417976115651,0.5849056603773585,8.758412389457677,1,0,4,4,4,0.3498562996464097,0.34914328347523804,0.3380571887556135,0.3609745126592802,5001-10000,1
6366,0,0.2903225806451613,0.1774193548387097,0.532258064516129,0.2903225806451613,0.16129032258064516,0.5483870967741935,0.0967741935483871,0.3709677419354839,0.532258064516129,0.25806451612903225,0.20967741935483872,0.532258064516129,62,40804,6.409676405906378,0.2903225806451613,8.758726607842037,0,2,0,6,6,0.040547758354762986,0.06271684546846314,0.26752809182729465,0.05378494193720342,5001-10000,1
