regime_def,ident_mean,ctrl_mean,mean_diff,boot_lo,boot_hi,MWU_p,n_ident,n_ctrl
base,0.425988602202203,0.47542386967838435,-0.04943526747618132,-0.057515827464589074,-0.04134704316420489,3.864832796920331e-48,1229,8770
altA,0.41030566525785866,0.4677979027122315,-0.05749223745437282,-0.0668886859879308,-0.048211944223700856,5.362535119415428e-47,1229,8770
altB,0.3589824530533398,0.36136050989657215,-0.0023780568432323346,-0.006035957121622505,0.0011943850091768204,0.032671956872632336,1229,8770
altC,0.43216024806734354,0.44588488294869016,-0.01372463488134662,-0.021765517834182662,-0.005606678539851765,0.0490135006716885,1229,8770
