n,collatz_steps,collatz_max,divergence_ratio,oscillation_count,time_to_peak_ratio,frac_up,mean_run_up,std_run_up,mean_run_down,std_run_down,prop_exploration,prop_optimization,prop_integration,identical_prime_pair,center_distance,symmetry_score,gravitational_pull
254,47,4372,17.212598425196852,30,0.2978723404255319,0.3191489361702128,1.0,0.0,2.0,1.118033988749895,0.2978723404255319,0.14893617021276595,0.5531914893617021,1,0.07376568435472222,0.5957446808510638,0.9254854062484421
256,8,256,1.0,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
258,122,9232,35.78294573643411,88,0.7213114754098361,0.36065573770491804,1.0,0.0,1.7333333333333334,1.019803902718557,0.7213114754098361,0.10655737704918032,0.1721311475409836,0,0.5419712792286454,0.38524590163934425,0.4525263332129671
260,29,260,1.0,16,0.0,0.27586206896551724,1.0,0.0,2.3333333333333335,1.0540925533894598,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
262,29,592,2.2595419847328246,16,0.13793103448275862,0.27586206896551724,1.0,0.0,2.3333333333333335,1.3333333333333333,0.13793103448275862,0.06896551724137931,0.7931034482758621,1,0.359647072345722,0.27586206896551724,0.6367015947292158
264,29,264,1.0,16,0.0,0.27586206896551724,1.0,0.0,2.3333333333333335,0.9428090415820634,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
266,29,400,1.5037593984962405,16,0.06896551724137931,0.27586206896551724,1.0,0.0,2.3333333333333335,1.1547005383792515,0.06896551724137931,0.034482758620689655,0.896551724137931,0,0.4878792466729099,0.13793103448275856,0.5071675375391445
268,29,304,1.1343283582089552,16,0.1724137931034483,0.27586206896551724,1.0,0.0,2.3333333333333335,1.1547005383792515,0.1724137931034483,0.034482758620689655,0.7931034482758621,0,0.3599775392649763,0.2413793103448275,0.6363677727298409
270,42,916,3.3925925925925924,26,0.14285714285714285,0.30952380952380953,1.0,0.0,2.0714285714285716,1.1627728997214075,0.14285714285714285,0.047619047619047616,0.8095238095238095,0,0.3791026521427646,0.23809523809523814,0.6170484912914947
272,16,272,1.0,6,0.0,0.1875,1.0,0.0,3.25,0.82915619758885,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
274,91,9232,33.693430656934304,64,0.6263736263736264,0.3516483516483517,1.0,0.0,1.7878787878787878,1.1216215468679847,0.6263736263736264,0.14285714285714285,0.23076923076923078,1,0.4269312089966159,0.5164835164835164,0.5687343528833168
276,16,276,1.0,6,0.0,0.1875,1.0,0.0,3.25,0.82915619758885,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
278,42,628,2.258992805755396,26,0.09523809523809523,0.30952380952380953,1.0,0.0,2.0714285714285716,1.099628879881475,0.09523809523809523,0.047619047619047616,0.8571428571428571,1,0.4389742733901529,0.19047619047619047,0.5565690207419793
280,16,280,1.0,6,0.0,0.1875,1.0,0.0,3.25,1.479019945774904,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
