metric,observed_diff,perm_lo,perm_hi,perm_p_two_sided,B
center_distance_base,-0.04943526747618132,-0.01055615594616179,0.006887079218441543,0.0,2000
consensus_distance_zmean,-0.2532348594485845,-0.060654119823536176,0.033063571591721234,0.0,2000
