,R1p,R2p,R3p,cluster,nearest_target_idx
0,0.6458688054025022,0.19688813919668718,0.1572430554008106,1,1
1,0.2522766416325678,0.4809594419702802,0.2667639163971521,2,2
2,0.5240017687108833,0.29220042428463516,0.18379780700448162,0,2
3,0.639011632419507,0.2218011129992476,0.13918725458124537,1,1
4,0.45727708930172717,0.2977207992481791,0.24500211145009368,0,2
5,0.3834342318540219,0.36128187015903224,0.25528389798694573,0,2
6,0.3857965282969833,0.3597769866720776,0.2544264850309392,0,2
7,0.6222622666778805,0.20157933789441848,0.17615839542770104,1,1
8,0.5007088652216101,0.2740582196764854,0.2252329151019046,0,2
9,0.6174266072852198,0.22422051229412376,0.1583528804206564,1,1
10,0.17940136148036945,0.519428041481402,0.30117059703822857,2,2
11,0.4431722757421467,0.3344299335068665,0.2223977907509868,0,2
12,0.3729406070304372,0.41217438976437165,0.2148850032051912,2,2
13,0.4825687050563394,0.32151033483266694,0.19592096011099366,0,2
14,0.46172782549748853,0.3364282821080705,0.20184389239444092,0,2
15,0.5790951381958818,0.25238386337093144,0.16852099843318677,1,1
16,0.3739905397062087,0.40735396768024273,0.21865549261354864,2,2
17,0.4983252394995505,0.2857835641328462,0.21589119636760323,0,2
18,0.510111136984418,0.15014362872298703,0.3397452342925949,0,2
19,0.2880529028847793,0.5068362249731176,0.20511087214210313,2,2
20,0.44335743205770506,0.36891178384299456,0.18773078409930044,0,2
21,0.44051009882048553,0.3486142088627261,0.21087569231678835,0,2
22,0.5116732218349703,0.33888787240824203,0.1494389057567876,0,2
23,0.46606249458716337,0.3778559326958869,0.15608157271694967,0,2
24,0.30558483826011235,0.4664580891841472,0.22795707255574038,2,2
25,0.5924745310384313,0.2332421016832994,0.1742833672782693,1,1
26,0.18112115279675575,0.5157439150631735,0.3031349321400708,2,2
27,0.4326558377267242,0.3636698899111424,0.20367427236213342,0,2
28,0.5565798749608781,0.27313525954415974,0.1702848654949622,0,2
29,0.45542282831258407,0.3745689901116936,0.17000818157572245,0,2
30,0.5552763566110746,0.229547008254174,0.2151766351347515,0,2
31,0.6123385991533128,0.23189247041435118,0.15576893043233608,1,1
32,0.32281231926518267,0.4211198040114608,0.25606787672335657,2,2
