model_id,gb_identical_flag,gb_has_distinct_flag,rmse,mae,count
6,0,1,45.56963466597989,39.69718504519027,2221
6,1,1,49.964056933799,43.79202952764303,279
12,0,1,45.564950169378356,39.696122745914444,2221
12,1,1,49.97150714411954,43.799474844387916,279
14,0,1,45.560180903056015,39.665633178427875,2221
14,1,1,50.01401577225692,43.864093793187614,279
