k,phi_emp_mag,phi_the
-2.5,0.01725134518303272,0.019199960155009535
-2.45,0.02018711687572074,0.021604436725803523
-2.4,0.02367358015321493,0.024280929952290822
-2.35,0.026560135226846276,0.027255994962705633
-2.3,0.031143972994827462,0.030558185108331755
-2.25,0.035102303976100285,0.03421811831166604
-2.2,0.03917231178728704,0.03826853219081148
-2.15,0.04301662539914907,0.04274432528839524
-2.1,0.04724403969893864,0.04768258144244283
-2.05,0.052453682522522256,0.053122574036706366
-2.0,0.05906949962721838,0.059105746561956225
-1.95,0.06641230845149863,0.06567566561132732
-1.9,0.07457084905306437,0.07287794212620845
-1.8499999999999999,0.08303312205625073,0.0807601164092797
-1.7999999999999998,0.09242707373781281,0.08937150213366946
-1.75,0.10218089736106943,0.09876298430797154
-1.7,0.11233293142758309,0.10898676591273054
-1.65,0.12457688955466933,0.12009605771212033
-1.5999999999999999,0.13734041536331432,0.13214470557235186
-1.5499999999999998,0.1515413983997066,0.14518674949337998
-1.5,0.1666021300937561,0.1592759084900214
-1.45,0.18120718245382256,0.17446498544929556
-1.4,0.19709949586301898,0.19080518614805242
-1.3499999999999999,0.21488357370005715,0.2083453467421598
-1.2999999999999998,0.2343338448411776,0.22713106423599214
-1.25,0.25535669972477665,0.24720372470447766
-1.2,0.2769685120193704,0.26859942435874634
-1.15,0.29813800819810704,0.2913477789003542
-1.0999999999999999,0.32147601679730675,0.31547061696465345
-1.0499999999999998,0.346719994824591,0.3409805537585487
-1.0,0.3731317877207076,0.3678794411714424
-0.9499999999999997,0.4016028966077404,0.3961566905601776
-0.8999999999999999,0.4320503961497935,0.4257874638990156
-0.8500000000000001,0.46305362652278514,0.4567307277737219
-0.7999999999999998,0.4943471352423911,0.48892716237508654
-0.75,0.5273987285446748,0.5222969135825414
-0.6999999999999997,0.5615454765419455,0.5567371694381176
-0.6499999999999999,0.5976795230672761,0.5921195312172658
-0.5999999999999996,0.6336782920635536,0.6282871313089984
-0.5499999999999998,0.6697614836577115,0.6650514208093968
-0.5,0.7064894599066298,0.7021885013265595
