model_id,split,rmse,mae
12,train,43.675516463516594,38.15732284268008
12,test,46.07761729452267,40.15405684010408
14,train,43.678653229686226,38.152168671685594
14,test,46.078574679509224,40.13418138303506
6,train,43.67531544154286,38.165360106696184
6,test,46.0808311577365,40.154169689431995
