,t,gap,rho_local,norm_height,s_unfolded,montgomery_local,gue_distance,cz_steps,cz_max,cz_even_steps,cz_odd_steps,cz_ratio_even,cz_ratio_odd,cz_growth_factor,cz_balance
t,1.0,-0.26657413042764566,0.9694523566556671,-0.9999998269560902,-0.0009090581272570145,-0.0013476539969417174,0.007067218290298248,0.09292008424202217,0.538391810327262,0.10130252678309222,0.07863958254575738,0.001525260464601878,-0.001525260464601878,-0.04175052522773465,0.001525260464601878
gap,-0.26657413042764566,1.0,-0.25678443799429557,0.2662256839486709,0.9409789968074623,0.02315820817035248,-0.11588952300725476,-0.025037733423189296,-0.1679037629548112,-0.028049922937289508,-0.02008378675542177,-0.008367909600722827,0.008367909600722827,0.007227004537539951,-0.008367909600722827
rho_local,0.9694523566556671,-0.25678443799429557,1.0,-0.9694525075889442,0.01392031788703772,0.0008902290731304523,0.01252595549796302,0.09649697402290752,0.5273471868361931,0.10476477140380579,0.0824521803721132,-0.0035731077613457536,0.0035731077613457536,-0.04154677643239046,-0.0035731077613457536
norm_height,-0.9999998269560902,0.2662256839486709,-0.9694525075889442,1.0,0.0005417186887722579,0.0013509295295471067,-0.007057299342806547,-0.09292385115548435,-0.5383951296709987,-0.10130627265340995,-0.07864338868307151,-0.0015212480374016393,0.0015212480374016393,0.041749580645953195,-0.0015212480374016393
s_unfolded,-0.0009090581272570145,0.9409789968074623,0.01392031788703772,0.0005417186887722579,1.0,0.020366807662799708,-0.11899839423427346,0.008834683601672633,0.0017986590057285385,0.008844843915655258,0.008846966296301764,-0.008800869918527316,0.008800869918527316,-0.0030794455283881536,-0.008800869918527316
montgomery_local,-0.0013476539969417174,0.02315820817035248,0.0008902290731304523,0.0013509295295471067,0.020366807662799708,1.0,-0.10251905983328406,0.002907740566515222,-0.00203759025206819,0.00275878864560993,0.0030550997340331332,-0.0041152317389382765,0.0041152317389382765,-0.0066465766478226935,-0.0041152317389382765
gue_distance,0.007067218290298248,-0.11588952300725476,0.01252595549796302,-0.007057299342806547,-0.11899839423427346,-0.10251905983328406,1.0,0.02624491805103906,0.01742389230145784,0.026252688822690044,0.026202665745176455,-0.02650598168691405,0.02650598168691405,0.019125017021266105,-0.02650598168691405
cz_steps,0.09292008424202217,-0.025037733423189296,0.09649697402290752,-0.09292385115548435,0.008834683601672633,0.002907740566515222,0.02624491805103906,1.0,0.28302427939343583,0.9999391785354838,0.9998433671074116,-0.9929451885542873,0.9929451885542873,0.26583974646379,-0.9929451885542873
cz_max,0.538391810327262,-0.1679037629548112,0.5273471868361931,-0.5383951296709987,0.0017986590057285385,-0.00203759025206819,0.01742389230145784,0.28302427939343583,1.0,0.28824068370056394,0.27443066013766276,-0.22403873882138212,0.22403873882138212,0.7626473708989583,-0.22403873882138212
cz_even_steps,0.10130252678309222,-0.028049922937289508,0.10476477140380579,-0.10130627265340995,0.008844843915655258,0.00275878864560993,0.026252688822690044,0.9999391785354838,0.28824068370056394,1.0,0.9996011977290871,-0.9916584816805628,0.9916584816805628,0.2652030466403831,-0.9916584816805628
cz_odd_steps,0.07863958254575738,-0.02008378675542177,0.0824521803721132,-0.07864338868307151,0.008846966296301764,0.0030550997340331332,0.026202665745176455,0.9998433671074116,0.27443066013766276,0.9996011977290871,1.0,-0.9948004935887848,0.9948004935887848,0.26688220403162893,-0.9948004935887848
cz_ratio_even,0.001525260464601878,-0.008367909600722827,-0.0035731077613457536,-0.0015212480374016393,-0.008800869918527316,-0.0041152317389382765,-0.02650598168691405,-0.9929451885542873,-0.22403873882138212,-0.9916584816805628,-0.9948004935887848,1.0,-1.0,-0.27070032201692756,1.0
cz_ratio_odd,-0.001525260464601878,0.008367909600722827,0.0035731077613457536,0.0015212480374016393,0.008800869918527316,0.0041152317389382765,0.02650598168691405,0.9929451885542873,0.22403873882138212,0.9916584816805628,0.9948004935887848,-1.0,1.0,0.27070032201692756,-1.0
cz_growth_factor,-0.04175052522773465,0.007227004537539951,-0.04154677643239046,0.041749580645953195,-0.0030794455283881536,-0.0066465766478226935,0.019125017021266105,0.26583974646379,0.7626473708989583,0.2652030466403831,0.26688220403162893,-0.27070032201692756,0.27070032201692756,1.0,-0.27070032201692756
cz_balance,0.001525260464601878,-0.008367909600722827,-0.0035731077613457536,-0.0015212480374016393,-0.008800869918527316,-0.0041152317389382765,-0.02650598168691405,-0.9929451885542873,-0.22403873882138212,-0.9916584816805628,-0.9948004935887848,1.0,-1.0,-0.27070032201692756,1.0
