index,t,gap,rho_local,norm_height,s_unfolded,montgomery_local,gue_distance,cluster,regime
7022,7284.023697897,1.2536044730004503,1.1292950818141123,1.0373146821271717,1.4156893658995813,0.0,0.0664556063836306,0,R3
7023,7285.27730237,0.862391834999471,1.11014670298706,1.0373454794774313,0.9573814523076234,0.0,0.065869661795404,1,R1
7024,7286.139694205,0.6395446610004001,1.1276832594263215,1.037320571498434,0.7212038078656331,0.0,0.0660874470621891,1,R1
7025,7286.779238866,1.4879315620000853,1.1329098936724833,1.0372639485930248,1.6856923876974486,0.0,0.094223732928535,0,R3
7026,7288.267170428,0.8365876540001409,1.153050403140561,1.0373280914358098,0.9646277317072786,0.19999999999996,0.0657852986447937,2,R2
7027,7289.103758082,0.8365187449999212,1.0752593922088618,1.0372995244175325,0.8994746373199352,0.19999999999996,0.0657508971142115,2,R2
7028,7289.940276827,0.8811531040000773,1.1221609970964543,1.037270955723819,0.9887956457793626,0.2499999999999375,0.0749425389227862,2,R2
7029,7290.821429931,0.4686136439995607,1.1654737079322397,1.037248745188647,0.5461568812598067,0.1666666666666388,0.0705052198618496,2,R2
7030,7291.290043575,1.4512058700001944,1.1144671942780615,1.0371678582610242,1.61732133425897,0.0,0.0667103835158983,0,R3
7031,7292.741249445,0.6618602059998011,1.1058557564857798,1.037226745760916,0.7319219187937441,0.0,0.0800860763774473,1,R1
7032,7293.403109651,0.8010383130003902,1.1220284660381152,1.0371733659913254,0.8987877895735875,0.0,0.0590660580684898,1,R1
7033,7294.204147964,0.8447460890001821,1.1337499916213791,1.0371397906958624,0.9577308713261496,0.0,0.0799705410607489,1,R1
7034,7295.048894053,0.5159555069994894,1.1296750308946075,1.037112438733722,0.5828620533098912,0.0,0.0663337951720336,1,R1
7035,7295.56484956,1.0067694830004257,1.094029167670602,1.0370383581464109,1.101435179523118,0.0,0.0755482697888696,1,R1
7036,7296.571619043,1.7970652730000438,1.139536783498333,1.0370340561459637,2.0478219809310234,0.0,0.0657625211010269,0,R3
7037,7298.368684316,0.7701642859992717,1.1406769834947006,1.0371420611504902,0.8785086745489991,0.0,0.0749040501859611,1,R1
7038,7299.138848602,0.1977228240002659,1.1286378660385252,1.03710412739443,0.223157466146771,0.0,0.0676804348829716,1,R1
7039,7299.336571426,1.4269054490005146,1.120433425768428,1.0369848801571246,1.5987525604712831,0.0,0.0677103456002803,0,R3
7040,7300.763476875,0.8178402289995574,1.0984266995145586,1.0370402666015626,0.8983375434702147,0.0,0.0590206685711223,1,R1
7041,7301.581317104,0.2672405049997906,1.1261193034029993,1.0370091346547363,0.3009446913314298,0.0,0.0605228461522358,1,R1
7042,7301.848557609,1.0693182100003469,1.1243634793526205,1.036899823574127,1.202302343131106,0.0,0.0812717352579159,1,R1
7043,7302.917875819,0.9260248640002828,1.131413829109649,1.0369044264970892,1.0477173372293018,0.0,0.0799773574167102,1,R1
7044,7303.843900683,1.2163864320000355,1.131511103485748,1.0368886855029813,1.3763547539374523,0.0,0.0658586796997542,0,R3
7045,7305.060287115,0.7578744610000285,1.1117165937191498,1.036914164246274,0.8425416142496884,0.0,0.0659208251947008,1,R1
7046,7305.818161576,0.8190440019998277,1.118723878062479,1.03687456167698,0.9162840822210604,0.0,0.0749196855566203,1,R1
7047,7306.637205578,1.0235470560000977,1.1502883850252086,1.0368436505715908,1.1773742900436592,0.0,0.0749215068607337,1,R1
7048,7307.660752634,1.010912339999777,1.1134988266692378,1.0368417639946084,1.1256497044552054,0.0,0.079835523558676,1,R1
7049,7308.671664974,0.8262389969995638,1.0978655326529227,1.0368380855403605,0.9070993165395428,0.0,0.0657548896519917,1,R1
7050,7309.497903971,1.0034530749999249,1.1371696289214803,1.0368082133292198,1.141096360937783,0.0,0.0657414004984654,1,R1
