range,n_zeros,silhouette,r1_prop,r2_prop,r3_prop
zeros_1-3333,3333,0.2580093884048702,35.22352235223523,56.28562856285628,8.49084908490849
zeros_3334-6666,3333,0.23067321822168022,28.14281428142814,39.93399339933993,31.923192319231923
zeros_6667-9999,3333,0.26771402044790044,39.843984398439844,15.031503150315032,45.124512451245124
