index,t,gap,rho_local,norm_height,s_unfolded,montgomery_local,gue_distance,cluster,regime
3944,4452.680702067,1.0538492039995617,1.03259487303417,1.1289758372380831,1.0881992850010889,0.0,0.07578300636608364,1,R1
3945,4453.734551271,0.7283541690003403,1.0480409413559149,1.128956793731559,0.7633449889196219,0.0,0.06596016912913794,1,R1
3946,4454.46290544,1.2997525330001736,1.0638193348695935,1.1288552725392804,1.3827018751513138,0.0,0.07015970519671388,0,R3
3947,4455.762657973,0.9405922189998819,1.0504224918511322,1.1288985705530783,0.9880192224976417,0.19999999999996,0.06590005513396735,2,R2
3948,4456.703250192,0.5425761480000801,1.0785798513740414,1.1288508739088146,0.5852117010690264,0.19999999999996,0.0663722176077844,2,R2
3949,4457.24582634,0.9429229929992289,1.0258740609304926,1.1287024123423652,0.9673202399728534,0.19999999999996,0.0662880028292623,2,R2
3950,4458.188749333,0.9825296840008377,1.028916888804438,1.1286553795779746,1.0109413856201495,0.39999999999992,0.07991444522571109,2,R2
3951,4459.171279017,1.3772502709998662,1.0237827491727143,1.1286183950941535,1.4100050687431087,0.19999999999996,0.06583114979636175,2,R2
3952,4460.548529288,0.8556111899997632,1.0593269696437964,1.1286813080182188,0.9063720090957715,0.0,0.07499984350024391,1,R1
3953,4461.404140478,1.3304817170001115,1.0430969292856174,1.1286122288079938,1.387821393473472,0.0,0.06586707674316016,0,R3
3954,4462.734622195,0.9130258719997073,1.0599118612072143,1.128663283306778,0.9677269513215495,0.19999999999996,0.07997371374577542,2,R2
3955,4463.647648067,0.3908751899998606,1.0403272049151087,1.1286087605731985,0.406638093883217,0.19999999999996,0.06715698718792244,2,R2
3956,4464.038523257,0.7741928710001957,1.0140253837467115,1.1284222758485845,0.7850512231099418,0.0,0.06734579169082308,1,R1
3957,4464.812716128,0.993281441000363,1.0779094748519162,1.1283327561607277,1.070667476448856,0.0,0.0659580217767635,1,R1
3958,4465.805997569,1.422535315999994,1.047237712761787,1.128298635060384,1.4897326306506995,0.0,0.0658228325478571,0,R3
3959,4467.228532885,0.5112841299996944,1.0525931970782274,1.1283729560204598,0.5381741970117384,0.0,0.06659344280785069,1,R1
3960,4467.739817015,1.430845722000413,1.0622980590975475,1.1282171255088385,1.5199846333490676,0.0,0.07581012127092521,0,R3
3961,4469.170662737,0.8073700949998965,0.9951167501966711,1.128293527578137,0.8034275051422747,0.0,0.06600925609437056,1,R1
3962,4469.978032832,1.383724419999453,1.0426367813261859,1.1282125272165573,1.442721975510673,0.0,0.06604983463065274,0,R3
3963,4471.361757252,0.18843833800019638,1.0455062195923015,1.1282770015775927,0.19701345438884166,0.0,0.0773239831188084,1,R1
3964,4471.55019559,1.4090764279999348,1.0709264966468977,1.128039908070131,1.5090172825456947,0.0,0.06095204450789963,0,R3
3965,4472.959272018,1.2270055589997355,1.0684195801059082,1.1281107873941991,1.3109567641341127,0.0,0.06602748894400919,0,R3
3966,4474.186277577,0.1308142020006926,1.0416800017982757,1.1281357230400906,0.13626653817532147,0.0,0.06091594290025166,1,R1
3967,4474.317091779,1.4840191529992808,1.035684121434605,1.1278843185729772,1.536975072666187,0.0,0.06096191765309896,0,R3
3968,4475.801110932,0.4454082260008363,1.0391646323657617,1.127974070295363,0.46285247542484514,0.0,0.06698741812455714,1,R1
3969,4476.246519158,0.769337904999702,1.0471924460604483,1.1278020960337618,0.8056448425836588,0.0,0.07617115473947896,1,R1
3970,4477.015857063,2.25356621300034,1.0338923127211306,1.12771180278665,2.3299447838291214,0.0,0.07012034513970135,0,R3
3971,4479.269423276,0.4612414959992748,1.0582008055766559,1.1279953219027954,0.4880861226318145,0.0,0.07613584785553451,1,R1
3972,4479.730664772,0.802964967000662,1.0382672759946765,1.1278274584018126,0.8336922490069327,0.0,0.06687360729373738,1,R1
3973,4480.533629739,0.8764104819993008,1.0563147960872228,1.127745690847974,0.9257653595817962,0.0,0.06586106994219572,1,R1
3974,4481.410040221,0.9568454680002105,1.0168654423522467,1.1276824459539505,0.9729830900807768,0.16666666666663887,0.05888751343407219,2,R2
3975,4482.366885689,0.8713917780005431,1.0499235574228718,1.1276394680978616,0.9148947554673715,0.16666666666663887,0.06991141389273946,2,R2
3976,4483.238277467,0.8853459019992442,1.0839076137995847,1.127575019483652,0.9596331640232417,0.19999999999996,0.07979996092136583,2,R2
3977,4484.123623369,0.9286027349999131,1.0407699265051922,1.1275141119861705,0.96646180025838,0.39999999999992,0.07980939267799884,2,R2
3978,4485.052226104,1.2749930590007352,1.0699395421085542,1.1274641091261939,1.3641654897388316,0.19999999999996,0.06579404263809033,2,R2
3979,4486.327219163,0.7569722649996038,1.0223120174390354,1.1275011860173412,0.773861843377141,0.0,0.07518312149508229,1,R1
3980,4487.084191428,0.986475820999658,1.0061579531036033,1.1274080882984925,0.9925504928432126,0.2499999999999375,0.0750146316963196,2,R2
3981,4488.070667249,1.170228298999973,1.0617013713408092,1.1273726870758602,1.2424329898300939,0.2499999999999375,0.07494349748672084,2,R2
3982,4489.240895548,1.054611448000287,1.0499939223175605,1.127383449409342,1.1073356108068235,0.0,0.06576213400494825,1,R1
3983,4490.295506996,0.9229742560000886,1.0497809612918314,1.1273651787587244,0.968920801711386,0.19999999999996,0.06576555489239709,2,R2
3984,4491.218481252,0.789796627999749,1.0664071927341308,1.127313875816265,0.842244804896095,0.19999999999996,0.06587842700455639,2,R2
3985,4492.00827788,0.6297567890005666,1.0384053731417777,1.1272291788908406,0.6539428334707013,0.0,0.059495701282475714,1,R1
3986,4492.638034669,0.8956000660000427,1.0290406547453506,1.1271043739761666,0.9216088783066632,0.0,0.06636604067033972,1,R1
3987,4493.533634735,0.9601211669996701,1.0413287242015707,1.1270463091886131,0.9998017499106898,0.19999999999996,0.07991465140847662,2,R2
3988,4494.493755902,1.3162621279998348,1.0716201478136311,1.1270044523324976,1.4105330161686676,0.19999999999996,0.06584717323395872,2,R2
3989,4495.81001803,1.0834337370006324,1.0453882526028042,1.1270518972248684,1.1326089011340172,0.0,0.07502805736708354,1,R1
